𥣝,biǎn
㵥,"bì,mì"
𩷚,bó
𪽾,bó
苪,bǐng
綳,"bēng,běng,bèng"
𧝪,biǎo
熛,biāo
𪓍,biān
萹,biān
𩿉,bān
翍,"pī,bì,pō"
堛,bì
㣁,bèi
𥸥,bǒ
𢳎,bài
𠣒,bāo
魬,bǎn
㛝,"bèi,bèng"
𩛞,"bǎo,něi,piǎo"
𧴎,biào
苝,bèi
餺,bó
昞,"bǐng,fǎng"
𩡩,bā
𤆀,biāo
𠬈,bǐ
揹,bēi
䙏,bó
𥛱,bēng
虣,bào
怑,bàn
潷,bì
㤳,běi
欂,bó
𩓐,bó
𦝷,bèng
𤷗,biē
怉,"bǎo,bào"
𥸅,biān
𩣚,"pī,bǐ"
懪,bó
𣧧,bó
𢔧,bìng
𥬝,bái
臕,biāo
㦚,biǎn
㚕,"fú,bì"
𣢠,bì
㨐,"bǔ,péi"
𣱶,bǔ
䞳,"bó,fèi"
𧻓,bèng
渀,bèn
𠚠,biāo
閞,"biàn,guān"
𨏫,bó
捹,bèn
徶,bié
㧼,biào
𨢐,bāng
䋔,bì
㚴,bù
譒,bò
𡐞,biē
𡘴,biē
挀,bāi
𧵢,bāo
䉽,bǎn
咇,bì
𡠚,bì
𧶙,bèi
㟑,bó
𢬵,"pīn,pān,biàn,fān"
蝂,bǎn
𡳄,bǐ
箁,"póu,bù,fú,pú"
𤛟,bèi
㞎,"bǎ,fú,pá"
𩓝,bié
𠬪,biào
曓,bào
𠺚,bān
𡚁,bì
氷,bīng
捠,bāng
𠷨,biǎn
𥹓,bān
䵄,"bí,bó,fèng,pěng"
骳,"bèi,mó"
𥴮,bó
㗘,"bó,fù"
𤲙,běn
𠔀,bān
𦜟,bù
琲,bèi
㹀,bó
蛃,bīng
坋,"bèn,fèn"
𩦠,bàng
藊,biǎn
𡈯,biǎn
𩾳,bí
旇,"pī,bì"
𩵛,biē
蔈,biāo
𤝸,bī
抪,"bù,pū"
餔,bū
蘗,bò
䟛,bó
𢎴,bīng
莂,bié
辬,bān
鎞,"bī,bì,pī"
吥,bù
蔀,bù
𩏯,bó
䇷,"bǐ,bié"
𢟵,bī
𣴨,bí
𡧍,"miàn,bīn"
𥳖,bù
𢺽,"bó,jiào"
䱝,"bà,pái"
𦩋,bài
㓦,bāi
𦤫,"bì,bí"
𩰶,"hái,bèn"
𠔯,bān
彃,bì
𥣌,bǔ
㴾,bó
𫟐,"páng,bàng"
𧩰,biàn
𡌶,bàn
鄪,bì
𥑢,bù
𩆱,bīn
𣋵,bó
𢴾,bèi
𩃴,bà
𤂆,biāo
䤖,bào
䡢,biàn
䬳,bǎn
𩏵,"bǔ,bù"
𩗀,bó
䠥,bié
𧘝,biǎo
覵,"jiàn,biǎn"
𡬯,biǎn
㻫,bì
𡋯,bó
㷯,bèng
㢸,bì
笓,"pí,bì"
鱍,bō
琕,"pín,bǐng"
㱵,"bèn,fèn"
𢢼,biāo
詖,bì
袐,bì
䋠,bǔ
㻞,"biàn,fèn,pìn"
𤷒,"pí,bì,bēi"
𫞾,bì
𧻷,bū
䢌,bó
𪓜,bǒ
𧚭,běng
䎱,"bēi,bà"
袌,"bào,páo,pào"
㭋,bàng
𤹦,bǐ
𦂖,bì
𤗳,bō
𪑰,bīng
𢐳,biē
髈,bǎng
鉍,bì
𣯴,bì
𩊬,bù
䪬,"bó,pú"
𨭂,bō
𥦜,bèng
𢜗,bàng
飊,biāo
㡙,"bī,pí"
𨲋,bī
㮄,"bǎng,bì,péng"
鉋,"bào,páo"
姅,bàn
褩,bān
𤐸,bì
㳍,bù
𣮡,bāng
䳈,bǎo
綼,bì
𦳈,"pí,bì"
𨨏,bō
𡡈,bēng
㙸,"bào,bó,pú"
䄶,bì
柀,bǐ
𩊶,bù
𣬍,bēi
𧼠,bēi
𩃶,bó
皀,"jí,bī"
䀯,bǔ
鉳,běi
㩧,bó
痭,"bēng,péng"
𣅍,"miàn,bīng"
𩽷,bà
𩣺,bēn
㗗,bǎi
䳆,bái
㢰,"bì,huán"
䊇,bù
𥓓,bēi
𤜲,"bèi,pèi"
嶓,bō
𠡮,"bēng,kēng"
䑰,bù
袰,bō
𨆱,bìng
𧌽,biē
𪏗,biān
𪉱,biàn
䃾,bǐ
𧷟,bīn
𠐲,bèi
孹,bò
𦡕,báo
僄,"piào,biāo"
籓,"fān,pān,biān"
𣝍,bì
𥭖,bó
㝸,biàn
豍,bī
鯆,"pū,bū"
椕,bīn
獙,bì
䭮,"bì,fú"
䬪,"bó,fù"
翉,běn
𧤃,bī
𫝞,bù
㔜,bó
諘,biǎo
𤫫,bān
䒄,"bó,fù"
𩬽,bǎo
邉,biān
獱,"biān,piàn"
𤙞,bì
𢐦,bì
𨽗,"bīn,pín"
𥼓,bèi
𡙪,bié
颷,biāo
鴘,biǎn
鳻,"bān,fén"
縪,bì
𨵰,bì
叐,bá
𤿈,báo
𠔂,biāo
驋,bō
溊,bō
蕔,bāo
𧿨,bǎn
𥏠,bī
𢳋,bǐ
柸,"bēi,pēi"
𩈔,bò
𫝦,bèi
𧝘,bào
㧳,"bǎi,bó,zhuò"
杮,"fèi,bèi"
𣖾,bèi
䙀,běng
㼟,bái
攽,bān
鼥,bá
魓,bì
謈,bó
饆,bì
𠀤,bìng
𤫬,běng
忁,bào
𦾭,bǎng
𠧅,bǐ
僃,bèi
𪟪,bèi
